102;9988
102;9988
102;5159;2017-12-19 00:20:00.288666
102;5159;2017-12-19 00:20:05.356932
102;5159;2017-12-19 00:20:06.992959
102;5159;2017-12-19 00:20:12.270584
102;5159;2017-12-19 00:20:18.650630
102;5159;2017-12-19 00:20:42.910697
102;5159;2017-12-19 00:20:44.620952
102;5159;2017-12-19 00:20:46.005289
102;5159;2017-12-19 00:20:47.187126
102;5159;2017-12-19 00:20:48.835680
102;5159;2017-12-19 00:20:53.204761
102;5159;2017-12-19 00:20:56.552280
102;5159;2017-12-19 00:20:57.610294
102;8732;2017-12-19 00:21:17.652554
102;8732;2017-12-19 00:21:24.494382
102;8732;2017-12-19 00:21:32.003843
102;8732;2017-12-19 00:21:38.444463
102;8732;2017-12-19 00:21:53.189763
102;8732;2017-12-19 00:27:19.844867
102;8732;2017-12-19 00:27:21.126557
102;8732;2017-12-19 00:27:21.600160
102;8732;2017-12-19 00:27:22.200116
102;8732;2017-12-19 00:27:22.501022
102;8732;2017-12-19 00:27:22.932052
102;8732;2017-12-19 00:27:23.334661
102;8732;2017-12-19 00:27:23.789774
102;8732;2017-12-19 00:27:24.173894
102;8732;2017-12-19 00:27:24.810702
102;8732;2017-12-19 00:27:25.904814
102;8732;2017-12-19 00:27:26.264194
102;8732;2017-12-19 00:27:26.686119
102;8732;2017-12-19 00:27:28.259120
102;10560;2017-12-19 10:45:44.554219
102;9988;2017-12-19 10:47:17.579105
102;10103;2017-12-19 10:47:32.493865
102;10103;2017-12-19 10:47:46.557294
102;10103;2017-12-19 10:49:01.536232
102;10104;2017-12-19 10:49:04.508077
102;10103;2017-12-19 10:49:04.902467
102;10104;2017-12-19 10:49:05.415780
102;10103;2017-12-19 10:49:05.885751
102;10104;2017-12-19 10:49:06.324486
102;10103;2017-12-19 10:49:06.685592
102;10104;2017-12-19 10:49:07.101658
102;10103;2017-12-19 10:49:07.486180
102;10104;2017-12-19 10:49:07.954503
102;10103;2017-12-19 10:49:08.839464
102;10104;2017-12-19 10:49:09.187061
102;10103;2017-12-19 10:49:09.518299
102;10104;2017-12-19 10:49:09.940389
102;10103;2017-12-19 10:49:10.372120
102;10104;2017-12-19 10:49:10.888379
102;10103;2017-12-19 10:49:11.272582
102;10103;2017-12-19 10:49:13.841167
102;10103;2017-12-19 10:49:47.428384
